Clock frequency is approx. 2803.2 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	15328	9089	6016	4637	3783	3079	2521	2202	1984	1893	2057	1745	1679	1633	1589	
64m	15662	9326	6316	4857	4007	3186	2666	2285	2142	1994	1892	1770	1700	1709	1670	
32m	15748	9533	6976	5102	4202	3416	3164	2320	2265	2161	2283	1994	1864	1964	2232	
16m	17054	10834	7445	5973	5307	4406	3668	3109	2933	2790	3242	2908	2606	3985	3460	
8m	34442	23310	17508	13756	11348	9618	8250	7191	6653	6360	6214	5954	5821	5670	5703	
4m	41511	27799	20630	15698	12715	10702	9153	7864	7318	6887	6555	6292	6071	5899	5836	
2m	42462	28673	21308	16393	13256	10946	9325	8137	7775	7664	7875	7890	8770	9759	10933	
1024k	45739	35628	34405	33579	30347	27212	24106	21554	25061	27049	26615	26980	26313	26001	25619	
512k	46655	36720	36399	36153	34407	32353	29823	27835	26889	26863	26610	26735	26151	25908	25662	
256k	46553	36629	36391	36171	35000	32764	30704	27988	27072	27287	26807	27156	26463	25997	26044	
128k	46427	36429	36021	35755	34777	32817	31076	27080	27398	27460	26957	26577	25576	25679	26003	
64k	46287	35951	35874	35356	34052	32957	30304	26579	26680	31671	46257	49702	48728	49330	48217	
32k	55268	54546	53339	48859	50885	50356	50860	47643	46592	45688	45868	43730	47094	43155	41366	
16k	54033	51604	50356	48042	49373	45283	44321	41601	39858	41366	37945	34472	36792	40997	36013	
